D (mm),t (mm),L (mm),fy (MPa),fu (MPa),Ea (Gpa),fc (MPa),Ec (Gpa),N Test (kN)
267.4,7,1600,461,,200,48.4,,5190
267.4,7,4800,461,,200,48.4,,3900
166,5,1100,274.4,,200,29.62,,1985
166,5,710,277.34,,200,39.06,,1656.2
166,5,710,277.34,,200,42.24,,1906.1
166,5,870,313.6,,200,42.24,,1827.7
166,5,870,284.2,,200,42.24,,1862
166,5,1700,294,,200,42.24,,1543.5
166,5,1700,313.6,,200,42.24,,1460.2
166,5,2700,289.1,,200,28.09,,1117.2
166,5,2700,289.1,,200,28.09,,1271.06
166,5,3700,287.14,,200,28.09,,983.92
166,5,3700,287.14,,200,28.09,,958.44
108,4,648,338.88,,200,28.99,,825.16
108,4,648,338.88,,200,28.99,,828.1
108,4,864,338.88,,200,28.99,,766.36
108,4,864,338.88,,200,28.99,,801.64
108,4,864,338.88,,200,28.99,,869.26
108,4,1080,338.88,,200,28.99,,836.92
108,4,1080,338.88,,200,28.99,,783.02
108,4,1620,338.88,,200,28.99,,707.56
108,4,1620,338.88,,200,28.99,,646.8
108,4,1620,338.88,,200,28.99,,643.86
108,4,2160,338.88,,200,28.99,,672.28
108,4,2160,338.88,,200,28.99,,697.76
108,4,2160,338.88,,200,28.99,,676.2
108,4,2700,338.88,,200,28.99,,648.76
108,4,3240,338.88,,200,28.99,,559.58
108,4,3240,338.88,,200,28.99,,478.24
108,4,3240,338.88,,200,28.99,,600.74
108,4,4320,338.88,,200,28.99,,373.38
108,4,4320,338.88,,200,28.99,,345.94
108,4,4320,338.88,,200,28.99,,294
108,4,5400,338.88,,200,28.99,,225.4
108,4,5400,338.88,,200,28.99,,210.7
108,4,5560,338.88,,200,28.99,,212.5
104,2,524,344,,200,32.65,,540
105,2.5,530,344,,200,35.65,,613
106,3,536,344,,200,33.47,,674
107,3.5,542,379.8,,200,31.87,,835
107,4,542,379.8,,200,31.87,,889
108,4.5,548,344,,200,33.5,,917
108,5,548,379.8,,200,33.5,,1084
160,2.5,960,433.2,,200,32.22,,1426
140,2.5,840,433.2,,200,38.88,,1124
140,3,840,426.3,,200,33.06,,1208
100,2.5,600,433.2,,200,45.77,,750
100,3,600,426.3,,200,29.13,,723
200,2,930,237.2,,200,24.24,,1411
210,2.5,1040,237.2,,200,27.07,,1607
210,3,1040,233.2,,200,27.07,,1705
180,3,860,233.2,,200,24.24,,1352
250,7,1480,243,,200,46.57,,4116
240,10,1440,269,,200,49.8,,5135
166,5,1040,288.1,,200,54.33,,1862
166,5,1040,288.1,,200,43.89,,1764
166,5,1040,288.1,,200,26.73,,1372
166,5,1040,288.1,,200,29.72,,1495
166,5,1040,288.1,,200,23,,1392
166,5,1040,288.1,,200,44.11,,1695
166,5,1040,288.1,,200,55.65,,1852
166,5,1040,288.1,,200,37.75,,1627
140,5.3,840,378.3,,200,21.86,,1326
140,5,840,378.3,,200,30.58,,1379
140,5,840,378.3,,200,34.92,,1501
140,5.3,840,378.3,,200,51.5,,1664
140,5,840,378.3,,200,42.25,,1539
92,3,460,260.7,,200,20.71,,501
92,3,920,260.7,,200,20.71,,431
92,3,1380,260.7,,200,20.71,,409
108,4.5,648,259.7,,200,20.22,,665
108,4.5,972,259.7,,200,20.22,,666
108,4.5,1296,259.7,,200,20.22,,563
108,4.5,1620,259.7,,200,20.22,,524
108,4.5,1994,259.7,,200,20.22,,495
108,4,540,327.1,,200,39.23,,836
108,4,756,337.6,,200,35.33,,785
108,4,972,337.6,,200,33.54,,736
108,4,1188,327.1,,200,34.03,,686
108,4,1404,332,,200,33.15,,686
108,4,1620,347.7,,200,33.15,,672
108,4.2,648,259.7,,200,20.54,,722
108,4.2,972,259.7,,200,22.84,,640
210,2.5,1040,237.2,,200,27.07,,1607
210,2.5,1670,237.2,,200,26.56,,1323
165.2,4.17,1322,358.7,,200,40.9,,1445
165.2,4.17,1982,358.7,,200,40.9,,1305
165.2,4.17,2974,358.7,,200,40.9,,1180
165.2,4.17,3965,358.7,,200,40.9,,956
165.2,4.17,4956,358.7,,200,40.9,,800
165,4.7,2475,355,,227,33.4,,1058
165,4.7,2476,355,,227,33.4,,1037
165,4.7,2477,355,,227,10,,800
165,4.7,2478,355,,227,10,,834
110,1.9,2200,350,,220,33.4,,437
110,1.9,2200,350,,220,33.4,,368
110,1.9,2200,350,,220,33.4,,355
110,1.9,2200,350,,220,33.4,,374
110,1.9,2200,350,,220,10,,269
110,1.9,2200,350,,220,10,,252
110,1.9,2200,350,,220,10,,211
110,1.9,2200,350,,220,10,,219
108,4,540,332.02,,200,40.4,,835.9
108,4.5,445,409.64,,200,28.6,,970.2
108,4.5,485,409.64,,200,28.6,,1205.4
140,5,840,378.28,,200,45.1,,1667
108,4.5,970,259.7,,200,32.2,,740.9
220,10,2400,224.22,,200,36.6,,1729.3
240,12,2400,191.79,,200,54.5,,3900.4
152,7,912,283.22,,200,42.9,,1693.4
140,5.5,840,333.2,,200,42.9,,1379.8
164,6,1700,356.82,,200,31.5,,1633.7
95,3.5,860,348.88,,200,26.2,,665.4
95,3.5,1420,348.88,,200,26.2,,582.1
