D (mm),t (mm),L (mm),fy (MPa),fu (MPa),Ea (Gpa),fc (MPa),Ec (Gpa),N Test (kN)
251,3.2,1050,265,,205.7,25.4,23.67,2033
300,3.2,1250,265,,205.7,25.4,23.67,2012
350,3.2,1468,265,,205.7,25.4,23.67,3000
401,3.2,1680,265,,205.7,25.4,23.67,3680
450,3.2,1888,265,,205.7,25.4,23.67,4540
127,4.2,480,349,,201,84.2,,2205
127,4.2,480,349,,201,84.2,,2245
127,4.2,480,349,,201,84.2,,2254
133,5.8,480,427,,211,84.2,,3112
133,5.8,480,427,,211,84.2,,3187
133,5.8,480,427,,211,84.2,,3193
203,9.6,800,352,,209,84.2,,5988
203,9.6,800,352,,209,84.2,,5906
203,9.6,800,352,,209,84.2,,6010
129,3,387,306,417,205,53.7,,1068
129,3,387,306,417,205,55.3,,1093
129,3,387,306,417,205,56.3,,1118
129,3,387,306,417,205,58.8,,1162
131,4,393,306,417,205,53.7,,1280
131,4,393,306,417,205,55.3,,1360
131,4,393,306,417,205,56.3,,1403
131,4,393,306,417,205,58.8,,1459
133,5,399,306,417,205,53.7,,1454
133,5,399,306,417,205,55.3,,1470
133,5,399,306,417,205,56.3,,1518
133,5,399,306,417,205,58.8,,1569
129,3,387,306,417,205,60.9,,1095
129,3,387,306,417,205,62.4,,1128
129,3,387,306,417,205,64,,1147
129,3,387,306,417,205,66.2,,1192
131,4,393,306,417,205,60.9,,1320
131,4,393,306,417,205,62.4,,1389
131,4,393,306,417,205,64,,1430
131,4,393,306,417,205,66.2,,1452
133,5,399,306,417,205,60.9,,1548
133,5,399,306,417,205,62.4,,1581
133,5,399,306,417,205,64,,1609
133,5,399,306,417,205,66.2,,1661
129,3,387,306,417,205,69.7,,1266
129,3,387,306,417,205,71.6,,1287
129,3,387,306,417,205,74.6,,1301
129,3,387,306,417,205,76.4,,1356
131,4,393,306,417,205,69.7,,1469
131,4,393,306,417,205,71.6,,1482
131,4,393,306,417,205,74.6,,1496
131,4,393,306,417,205,76.4,,1542
133,5,399,306,417,205,69.7,,1659
133,5,399,306,417,205,71.6,,1673
133,5,399,306,417,205,74.6,,1712
133,5,399,306,417,205,76.4,,1774
219.1,6.3,600,300,,,163,,6916
219.1,6.3,600,300,,,175,,7400
219.1,6.3,600,300,,,149,,6817
219.1,6.3,600,300,,,175,,7569
108,3.5,324,420.5,,176.4,98.5,,1640
108,5.5,324,383.1,,181,98.5,,1809
108,8,324,351,,176.5,98.5,,1902
108,10,324,366.2,,193.1,98.5,,2185
108,12,324,430,,216.3,98.5,,2751
108,8,324,351,,176.5,97.3,,1906
108,8,324,351,,176.5,117,,1967
108,8,324,351,,176.5,97.4,,1893
108,8,324,351,,176.5,97.2,,1896
108,8,324,351,,176.5,91.9,,1885
108,8,324,351,,176.5,92.6,,1835
108,8,324,351,,176.5,91.6,,1889
108,8,324,351,,176.5,90,,1813
108,3.5,324,420.5,,176.4,108.8,,1720
108,5.5,324,383.1,,181,108.8,,1907
108,8,324,351,,176.5,108.8,,2037
108,10,324,366.2,,193.1,108.8,,2266
108,5.5,324,383.1,,181,101.3,,1849
108,5.5,324,383.1,,181,105,,1906
108,5.5,324,383.1,,181,114.4,,1908
108,5.5,324,383.1,,181,108,,1905
108,5.5,324,383.1,,181,127.9,,2021
108,5.5,324,383.1,,181,111.8,,1951
108,5.5,324,383.1,,181,108.7,,1925
108,5.5,324,383.1,,181,116.8,,1944
108,3.5,324,420.5,,176.4,90.3,,1633
108,5.5,324,383.1,,181,90.3,,1752
108,8,324,351,,176.5,90.3,,1883
108,10,324,366.2,,193.1,90.3,,2175
108,12,324,430,,216.3,90.3,,2713
108,10,324,366.2,,193.1,103.1,,2208
108,10,324,366.2,,193.1,113.1,,2331
108,10,324,366.2,,193.1,89.7,,2182
108,10,324,366.2,,193.1,95.9,,2273
108,10,324,366.2,,193.1,80,,2086
108,10,324,366.2,,193.1,93.7,,2177
108,10,324,366.2,,193.1,97.3,,2186
108,10,324,366.2,,193.1,79.8,,2097
156,4,996,295,430,203,47.5,,1450
156,4,1950,295,430,203,47.5,,1305
156,4,2904,295,430,203,47.5,,1198
