f,c,t,b,n,theta,mode_1_number,freq_Hz
27.0,56.0,1.02,2844.0,2.0,50.0,1,40.697
20.0,126.0,2.14,3627.0,4.0,32.0,1,11.767
16.0,70.0,1.29,541.0,9.0,33.0,3,345.43
18.0,147.0,4.47,3525.0,5.0,57.0,1,12.408
42.0,96.0,2.7,1937.0,8.0,44.0,1,56.671
20.0,115.0,2.93,2254.0,7.0,57.0,1,28.783
7.0,146.0,0.79,2346.0,5.0,43.0,1,10.266
32.0,114.0,0.71,1761.0,5.0,51.0,1,68.295
26.0,109.0,3.81,3699.0,9.0,30.0,1,10.692
49.0,68.0,3.26,2677.0,10.0,56.0,1,32.924
25.0,129.0,4.22,2370.0,6.0,43.0,1,30.974
16.0,93.0,3.18,1813.0,9.0,55.0,1,35.08
24.0,95.0,3.95,1647.0,10.0,54.0,1,59.235
23.0,53.0,3.01,2189.0,5.0,57.0,1,35.512
9.0,94.0,4.12,1462.0,3.0,46.0,1,49.049
15.0,142.0,3.53,3168.0,6.0,49.0,1,11.925
19.0,125.0,2.51,3282.0,2.0,22.0,1,27.265
32.0,108.0,0.81,3009.0,5.0,55.0,1,23.934
19.0,91.0,1.66,2122.0,6.0,35.0,1,26.942
10.0,71.0,1.9,3181.0,5.0,50.0,1,11.398
39.0,143.0,0.65,1930.0,9.0,51.0,8,67.093
9.0,105.0,4.45,1902.0,3.0,40.0,1,35.642
7.0,64.0,3.04,2609.0,9.0,50.0,1,9.8307
39.0,147.0,3.39,512.0,8.0,59.0,0,nan
12.0,63.0,2.46,3880.0,4.0,29.0,1,22.625
25.0,111.0,3.65,2756.0,8.0,26.0,1,17.115
23.0,114.0,2.59,643.0,7.0,43.0,1,356.02
24.0,120.0,3.69,1003.0,5.0,43.0,1,161.96
16.0,121.0,2.36,3139.0,7.0,42.0,1,11.989
15.0,89.0,2.69,791.0,5.0,25.0,1,143.35
13.0,88.0,4.06,2035.0,7.0,50.0,1,24.203
22.0,131.0,2.97,3574.0,6.0,46.0,1,12.703
10.0,141.0,4.48,3087.0,2.0,50.0,1,35.182
33.0,134.0,3.43,2042.0,3.0,31.0,1,49.967
24.0,119.0,4.68,2422.0,9.0,33.0,1,25.436
6.0,60.0,1.99,1926.0,9.0,34.0,1,12.677
5.0,125.0,3.64,3078.0,8.0,39.0,1,5.1905
47.0,84.0,3.74,3793.0,5.0,48.0,1,18.548
21.0,75.0,2.98,1970.0,6.0,35.0,1,31.647
17.0,53.0,4.11,1738.0,6.0,58.0,1,43.198
22.0,94.0,4.64,1455.0,3.0,59.0,1,87.425
15.0,112.0,1.37,2449.0,3.0,35.0,1,20.837
26.0,128.0,2.16,1148.0,7.0,25.0,1,102.96
8.0,131.0,3.4,3201.0,8.0,26.0,1,6.4001
7.0,124.0,4.35,3418.0,4.0,47.0,1,12.304
39.0,88.0,2.09,2781.0,7.0,59.0,1,30.901
46.0,101.0,3.83,1080.0,6.0,52.0,1,219.76
29.0,132.0,0.51,2853.0,2.0,49.0,1,31.319
8.0,94.0,1.32,3224.0,7.0,22.0,1,5.7591
39.0,66.0,3.33,1597.0,4.0,55.0,1,86.638
7.0,109.0,4.04,3211.0,7.0,54.0,1,7.2774
12.0,82.0,3.86,2401.0,6.0,28.0,1,17.364
24.0,81.0,2.23,886.0,9.0,30.0,1,145.55
30.0,64.0,2.71,2604.0,8.0,60.0,1,27.089
41.0,140.0,2.57,3719.0,6.0,39.0,1,17.462
49.0,91.0,2.33,1492.0,9.0,53.0,1,114.93
39.0,135.0,1.01,1989.0,6.0,34.0,1,52.258
6.0,55.0,1.85,1529.0,9.0,28.0,1,18.678
18.0,107.0,4.76,2454.0,10.0,31.0,1,19.434
28.0,87.0,2.0,3934.0,5.0,34.0,1,10.84
19.0,112.0,1.51,941.0,7.0,47.0,1,148.19
11.0,50.0,4.0,3749.0,6.0,44.0,1,24.466
6.0,65.0,1.11,3300.0,9.0,23.0,1,4.3316
13.0,106.0,3.99,3908.0,5.0,57.0,1,10.63
30.0,121.0,4.7,3960.0,9.0,53.0,1,13.144
31.0,104.0,0.63,2129.0,7.0,52.0,1,44.135
11.0,56.0,1.55,1862.0,7.0,27.0,1,19.202
37.0,58.0,3.68,3830.0,7.0,53.0,1,15.318
17.0,137.0,1.4,3254.0,5.0,59.0,1,12.552
25.0,78.0,2.42,3328.0,2.0,54.0,1,49.4
25.0,69.0,1.18,2048.0,6.0,41.0,1,32.485
15.0,130.0,1.09,1622.0,8.0,27.0,1,38.536
7.0,72.0,1.08,3127.0,4.0,49.0,1,9.5108
10.0,150.0,1.96,1410.0,9.0,38.0,1,37.917
13.0,57.0,1.38,3995.0,7.0,27.0,1,6.5628
41.0,124.0,3.49,3645.0,4.0,43.0,1,20.277
31.0,139.0,1.22,2066.0,7.0,46.0,1,48.407
8.0,87.0,3.12,684.0,4.0,51.0,1,137.19
